Info 0    [17:56:52.990] Starting TS Server
Info 152  [18:11:52.115] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 8 structureChanged: false Elapsed: 21ms
Info 153  [18:11:52.115] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 154  [18:11:52.395] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 155  [18:11:52.419] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 9 structureChanged: false Elapsed: 24ms
Info 156  [18:11:52.419] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 157  [18:11:52.629] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 158  [18:11:52.646] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 10 structureChanged: false Elapsed: 17ms
Info 159  [18:11:52.646] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 160  [18:11:53.30] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 161  [18:11:53.47] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 11 structureChanged: false Elapsed: 17ms
Info 162  [18:11:53.47] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 163  [18:11:53.94] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 164  [18:11:53.109] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 12 structureChanged: false Elapsed: 15ms
Info 165  [18:11:53.109] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 166  [18:11:53.295] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 167  [18:11:53.312] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 13 structureChanged: false Elapsed: 17ms
Info 168  [18:11:53.312] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 169  [18:11:53.312] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 170  [18:11:53.327] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 14 structureChanged: false Elapsed: 15ms
Info 171  [18:11:53.327] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 172  [18:11:53.328] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 173  [18:11:53.343] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 15 structureChanged: false Elapsed: 15ms
Info 174  [18:11:53.343] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 175  [18:11:53.422] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 176  [18:11:53.437] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 16 structureChanged: false Elapsed: 15ms
Info 177  [18:11:53.437] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 178  [18:11:53.726] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 179  [18:11:53.742] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 17 structureChanged: false Elapsed: 16ms
